vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
578,2014-02-09,Bundesbeschluss über die Finanzierung und den Ausbau der Eisenbahninfrastruktur (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Für den öffentlichen Verkehr»),4,1,20120016-2
579,2014-02-09,Volksinitiative «Abtreibungsfinanzierung ist Privatsache – Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,3,0,20120052-1
580,2014-02-09,Volksinitiative «Gegen Masseneinwanderung»,3,1,20120098-1
583,2014-05-18,Volksinitiative «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,3,0,20130014-1
584,2014-05-18,Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen,2,0,20120085-2
582,2014-05-18,Volksinitiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,3,1,20120076-2
581,2014-05-18,Bundesbeschluss über die medizinische Grundversorgung (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Ja zur Hausarztmedizin»),4,1,20110062-2
586,2014-09-28,Volksinitiative «Für eine öffentliche Krankenkasse»,3,0,20130079-1
585,2014-09-28,Volksinitiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,3,0,20120074-1
587,2014-11-30,Volksinitiative «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)»,3,0,20130057-1
589,2014-11-30,Volksinitiative «Rettet unser Schweizer Gold (Gold-Initiative)»,3,0,20130093-1
588,2014-11-30,Volksinitiative «Stopp der Überbevölkerung – zur Sicherung der natürlichen Lebensgrundlagen»,3,0,20130086-1
590,2015-03-08,Volksinitiative «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,3,0,20130084-1
591,2015-03-08,Volksinitiative «Energie- statt Mehrwertsteuer»,3,0,20130095-1
595,2015-06-14,Bundesgesetz über Radio und Fernsehen,2,1,20130048-1
593,2015-06-14,Volksinitiative «Stipendieninitiative»,3,0,20130058-1
592,2015-06-14,Bundesbeschluss über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,1,1,20130051-1
594,2015-06-14,Volksinitiative «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,3,0,20130107-1
