preparl_phases_id,bill_id,preparl_phases_type,preparl_phases_order,preparl_phases_start_date,preparl_phases_end_state,preparl_phases_count
1448,20140061-1,04,1,2013-12-13,2014-03-31,1
1208,20140063-1,03,1,2011-06-06,2012-10-29,5
1209,20140063-1,05,2,2012-11-22,2013-01-21,5
1210,20140063-1,05,3,2013-01-21,2014-02-28,5
1211,20140063-1,05,5,2014-03-28,2014-03-28,5
1213,20140063-1,04,4,2013-06-14,2013-10-07,5
1926,20140065-1,05,1,NA,NA,1
1432,20140066-1,04,1,NA,2014-06-30,1
1434,20140066-2,04,1,NA,2014-06-30,1
1927,20140069-4,04,1,2013-06-26,2013-10-17,2
1928,20140069-4,05,2,2013-11-25,2014-02-13,2
1027,20140073-1,04,1,2031-09-13,2031-12-31,1
1139,20140077-1,02,1,2013-11-01,NA,1
1393,20140089-1,04,1,2014-04-30,2014-06-20,1
1140,20140090-1,04,1,2014-01-22,2014-04-29,1
1028,20140096-1,04,1,2014-05-28,2014-09-19,1
1607,20140096-10,04,1,2014-05-28,2014-09-19,1
1029,20140096-2,04,1,2014-05-28,2014-09-19,1
1608,20140096-3,04,1,2014-05-28,2014-09-19,1
1609,20140096-4,04,1,2014-05-28,2014-09-19,1
1610,20140096-5,04,1,2014-05-28,2014-09-19,1
1611,20140096-6,04,1,2014-05-28,2014-09-19,1
1612,20140096-7,04,1,2014-05-28,2014-09-19,1
1613,20140096-8,04,1,2014-05-28,2014-09-19,1
1614,20140096-9,04,1,2014-05-28,2014-09-19,1
1030,20140097-1,04,1,2013-12-13,2014-03-31,1
1929,20150019-2,05,1,NA,NA,1
1932,20150019-3,03,1,NA,NA,1
1931,20150019-4,04,1,2014-06-26,2014-10-16,1
1606,20150022-1,05,1,NA,NA,1
1605,20150026-1,05,1,2014-11-14,2014-11-18,1
1601,20150031-1,05,1,2013-03-30,2014-06-15,1
1602,20150031-2,05,1,2013-03-30,2014-06-15,1
